0,1,2,3,4,5,6,7,8,9
1.0396,1.0432,1.0020,0.9733,1.0776,1.3254,1.0346,1.0376,1.0254,1.0070
1.0105,1.0074,0.9343,0.9817,0.9894,0.8030,0.8546,0.9181,0.9776,0.9603
0.9351,0.9041,0.9117,0.8562,0.9312,0.7196,0.9204,0.9068,0.8823,0.9223
0.8135,0.7836,0.8120,0.7569,0.8717,1.1704,0.9478,0.8684,0.8095,0.8263
0.6207,0.6317,0.7117,0.5585,0.6394,0.6225,0.8815,0.5896,0.5500,0.6307
0.4299,0.4722,0.6860,0.3146,0.5176,0.5180,0.7414,0.4252,0.3717,0.4636
0.4374,0.4130,0.6434,0.2392,0.5691,0.3004,0.8133,0.3800,0.3674,0.4182
0.4524,0.4289,0.6665,0.2706,0.4954,0.3287,0.7378,0.3878,0.3620,0.4468
0.4252,0.4221,0.6030,0.2739,0.4880,0.3472,0.7245,0.3873,0.3545,0.3903
0.3829,0.4138,0.6692,0.2667,0.5416,0.4469,0.7417,0.3912,0.3381,0.4049
0.4291,0.4333,0.6146,0.2370,0.5002,0.5256,0.7058,0.3627,0.3380,0.3991
0.4096,0.3962,0.6056,0.2495,0.5873,0.5372,0.7107,0.3853,0.3837,0.3858
0.3625,0.3793,0.6057,0.2299,0.5683,0.6314,0.7440,0.3770,0.3667,0.4017
0.4074,0.3970,0.5918,0.2194,0.5484,0.4209,0.6846,0.3623,0.3299,0.3736
0.4008,0.3849,0.5901,0.2514,0.4592,0.3322,0.6607,0.3533,0.3485,0.3659
0.3723,0.3757,0.6161,0.2382,0.5211,0.2638,0.6585,0.3524,0.3153,0.3667
0.3473,0.3802,0.5542,0.2531,0.5308,0.5502,0.7189,0.3274,0.2983,0.3821
0.3601,0.3738,0.5559,0.2089,0.5440,0.4060,0.7138,0.3430,0.2944,0.3804
0.3664,0.3779,0.5212,0.2633,0.5077,0.4169,0.6191,0.3272,0.3009,0.3665
0.3829,0.3667,0.5294,0.2234,0.4442,0.4276,0.6452,0.3300,0.2920,0.3805
0.3930,0.3747,0.5136,0.2128,0.4956,0.3333,0.7103,0.3384,0.2907,0.3523
0.3525,0.3572,0.6242,0.2021,0.5178,0.4030,0.6668,0.3161,0.2882,0.3485
0.3654,0.3881,0.5560,0.2162,0.4516,0.2716,0.6426,0.3393,0.3133,0.3491
0.3433,0.3476,0.4799,0.2299,0.4747,0.3707,0.6517,0.3033,0.2808,0.3471
0.3455,0.3490,0.6261,0.2088,0.4575,0.3988,0.6365,0.3202,0.2846,0.3410
0.3413,0.3706,0.5569,0.2265,0.4879,0.2634,0.7009,0.3050,0.2877,0.3359
0.3218,0.3542,0.5099,0.2150,0.4203,0.2950,0.6272,0.2993,0.2801,0.3415
0.3208,0.3519,0.4751,0.2147,0.4927,0.2336,0.5439,0.3183,0.2876,0.3151
0.3489,0.3277,0.4358,0.2032,0.4804,0.2270,0.6281,0.2911,0.2713,0.3308
0.3183,0.3415,0.4505,0.1788,0.4596,0.2899,0.6107,0.2726,0.2395,0.2940
0.3270,0.3072,0.5162,0.1798,0.5017,0.2644,0.6036,0.2861,0.2501,0.3262
0.3201,0.3024,0.5306,0.1971,0.4534,0.5237,0.5953,0.2772,0.2440,0.2883
0.2841,0.3218,0.5061,0.2000,0.4575,0.3977,0.5080,0.2654,0.2181,0.2823
0.3205,0.3192,0.4559,0.1723,0.4023,0.2996,0.5473,0.2655,0.2501,0.3060
0.3181,0.3048,0.4929,0.1784,0.4673,0.6174,0.6209,0.2839,0.2469,0.3013
0.2900,0.3037,0.5006,0.1707,0.3680,0.2306,0.4776,0.2460,0.2184,0.2857
0.3201,0.2940,0.5023,0.2054,0.3874,0.3813,0.5933,0.2615,0.2055,0.2666
0.3089,0.2798,0.4833,0.1827,0.4409,0.3457,0.5714,0.2475,0.2146,0.2451
0.2798,0.2954,0.5114,0.1779,0.3988,0.2332,0.4667,0.2266,0.2003,0.2447
0.2825,0.2698,0.4102,0.1836,0.4058,0.2547,0.4921,0.2482,0.1967,0.2399
0.2948,0.3032,0.4648,0.1782,0.5251,0.5197,0.4779,0.2364,0.2175,0.2506
0.2847,0.2900,0.5285,0.1850,0.4800,0.3879,0.4774,0.2423,0.2024,0.2544
0.3068,0.3040,0.4310,0.1870,0.4472,0.2827,0.4856,0.2397,0.1979,0.2533
0.2860,0.3177,0.4948,0.1932,0.4629,0.3934,0.4867,0.2511,0.2182,0.2865
0.2505,0.2489,0.4948,0.1478,0.3946,0.3172,0.4909,0.2061,0.1648,0.2198
0.2898,0.2908,0.4572,0.1765,0.4280,0.3412,0.5109,0.2225,0.1947,0.2702
0.2472,0.3006,0.4672,0.1774,0.4207,0.3876,0.4926,0.2432,0.1996,0.2431
0.2559,0.2982,0.4752,0.1752,0.4406,0.4481,0.3973,0.2317,0.1963,0.2567
0.2444,0.2582,0.4395,0.1408,0.4208,0.4542,0.4617,0.2017,0.1737,0.2272
0.2412,0.2563,0.4473,0.1426,0.3664,0.3505,0.4726,0.1845,0.1529,0.2176
