epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
0.1000,0.0000,8.0000,0.9019,0.7849,0.1367,0.7890,52.7408,0.3500
0.1000,0.0000,7.0000,0.8421,0.7575,0.2853,1.5386,61.4521,0.4000
0.1000,0.0000,8.0000,0.7444,0.7108,0.4266,2.2881,55.4129,0.4000
0.1000,0.0000,8.0000,0.6097,0.6413,0.5486,3.0377,93.7802,0.3500
0.1000,0.0000,7.0000,0.3415,0.4727,0.6887,3.7873,139.8483,0.2500
0.1000,0.0000,5.0000,0.2308,0.3692,0.8252,4.5368,74.9847,0.3500
0.1000,0.0000,7.0000,0.2402,0.3814,0.9679,5.2864,72.4888,0.3500
0.1000,0.0000,7.0000,0.2227,0.3653,1.1183,6.0360,58.3204,0.3500
0.1000,0.0000,7.0000,0.2215,0.3640,1.2590,6.7855,109.1907,0.2500
0.1000,0.0000,5.0000,0.2267,0.3709,1.3974,7.5351,81.8351,0.3500
0.1000,0.0000,7.0000,0.2109,0.3526,1.5295,8.2847,45.0074,0.4500
0.1000,0.0000,9.0000,0.2164,0.3602,1.6688,9.0342,71.2199,0.4000
0.1000,0.0000,8.0000,0.2034,0.3440,1.8012,9.7838,81.2009,0.3500
0.1000,0.0000,7.0000,0.2031,0.3457,1.9444,10.5334,52.9278,0.4000
0.1000,0.0000,8.0000,0.2057,0.3503,2.0896,11.2829,86.1737,0.3500
0.1000,0.0000,7.0000,0.2107,0.3559,2.2301,12.0325,150.9448,0.2000
0.1000,0.0000,4.0000,0.2054,0.3517,2.3606,12.7821,90.0550,0.3000
0.1000,0.0000,6.0000,0.1966,0.3403,2.4882,13.5316,92.7688,0.2500
0.1000,0.0000,5.0000,0.1986,0.3441,2.6219,14.2812,105.0376,0.3000
0.1000,0.0000,6.0000,0.2125,0.3620,2.7635,15.0307,92.1187,0.3500
0.1000,0.0000,7.0000,0.1890,0.3332,2.8932,15.7803,45.0620,0.4000
0.1000,0.0000,8.0000,0.1875,0.3319,3.0361,16.5299,34.9729,0.3500
0.1000,0.0000,7.0000,0.1913,0.3387,3.1737,17.2794,29.4779,0.4000
0.1000,0.0000,8.0000,0.1952,0.3457,3.3150,18.0290,35.3774,0.4000
0.1000,0.0000,8.0000,0.1790,0.3245,3.4542,18.7786,41.9398,0.4000
0.1000,0.0000,8.0000,0.1817,0.3294,3.5935,19.5281,141.8657,0.2500
0.1000,0.0000,5.0000,0.1836,0.3330,3.7369,20.2777,128.2314,0.2500
0.1000,0.0000,5.0000,0.1737,0.3212,3.8682,21.0273,186.5192,0.2500
0.1000,0.0000,5.0000,0.1890,0.3426,4.0073,21.7768,56.6410,0.3000
0.1000,0.0000,6.0000,0.1701,0.3190,4.1390,22.5264,0.0000,0.5000
0.1000,0.0000,10.0000,0.1817,0.3367,4.2856,23.2760,119.7777,0.2500
0.1000,0.0000,5.0000,0.1600,0.3078,4.4202,24.0255,104.1230,0.3500
0.1000,0.0000,7.0000,0.1703,0.3239,4.5568,24.7751,91.5318,0.3500
0.1000,0.0000,7.0000,0.2194,0.3800,4.7078,25.5247,46.7278,0.3000
0.1000,0.0000,6.0000,0.1517,0.3002,4.8458,26.2742,51.0001,0.3500
0.1000,0.0000,7.0000,0.1652,0.3191,4.9809,27.0238,30.0628,0.4500
0.1000,0.0000,9.0000,0.1590,0.3149,5.1332,27.7734,139.7297,0.2500
0.1000,0.0000,5.0000,0.1466,0.2970,5.2690,28.5229,0.0000,0.5000
0.1000,0.0000,10.0000,0.1435,0.2929,5.4075,29.2725,64.9600,0.4000
0.1000,0.0000,8.0000,0.1488,0.2961,5.5471,30.0220,51.8183,0.4500
0.1000,0.0000,9.0000,0.1842,0.3446,5.6876,30.7716,0.0041,0.5000
0.1000,0.0000,10.0000,0.1405,0.2896,5.8232,31.5212,0.0011,0.5000
0.1000,0.0000,10.0000,0.1981,0.3615,5.9655,32.2707,16.0417,0.4500
0.1000,0.0000,9.0000,0.1435,0.3002,6.1050,33.0203,105.1133,0.3500
0.1000,0.0000,7.0000,0.1359,0.2831,6.2290,33.7699,111.5871,0.3000
0.1000,0.0000,6.0000,0.1266,0.2757,6.3683,34.5194,42.0970,0.4000
0.1000,0.0000,8.0000,0.1294,0.2779,6.5074,35.2690,62.7443,0.3000
0.1000,0.0000,6.0000,0.1878,0.3420,6.6407,36.0186,35.0469,0.4000
0.1000,0.0000,8.0000,0.1309,0.2844,6.7855,36.7681,84.9181,0.4000
0.1000,0.0000,8.0000,0.1360,0.2834,6.9242,37.5177,37.0812,0.4000
