epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
0.5000,0.0000,8.0000,0.9031,0.7855,0.6381,3.9451,52.7408,0.3500
0.5000,0.0000,7.0000,0.8419,0.7574,1.3501,7.6929,61.4521,0.4000
0.5000,0.0000,8.0000,0.7482,0.7127,2.0227,11.4407,55.4129,0.4000
0.5000,0.0000,8.0000,0.6062,0.6393,2.5944,15.1886,93.7802,0.3500
0.5000,0.0000,7.0000,0.3369,0.4693,3.2440,18.9364,139.8483,0.2500
0.5000,0.0000,5.0000,0.2297,0.3685,3.8816,22.6842,74.9847,0.3500
0.5000,0.0000,7.0000,0.2366,0.3770,4.5671,26.4320,72.4888,0.3500
0.5000,0.0000,7.0000,0.2220,0.3642,5.2895,30.1798,58.3204,0.3500
0.5000,0.0000,7.0000,0.2234,0.3666,5.9674,33.9277,109.1907,0.2500
0.5000,0.0000,5.0000,0.2281,0.3729,6.6166,37.6755,81.8351,0.3500
0.5000,0.0000,7.0000,0.2106,0.3519,7.2308,41.4233,45.0074,0.4000
0.5000,0.0000,8.0000,0.2143,0.3577,7.8880,45.1711,71.2199,0.3500
0.5000,0.0000,7.0000,0.2039,0.3445,8.5203,48.9190,81.2009,0.3500
0.5000,0.0000,7.0000,0.2033,0.3460,9.2147,52.6668,52.9278,0.3500
0.5000,0.0000,7.0000,0.2053,0.3496,9.9054,56.4146,86.1737,0.3500
0.5000,0.0000,7.0000,0.2084,0.3532,10.5803,60.1624,150.9448,0.1000
0.5000,0.0000,2.0000,0.2008,0.3456,11.1808,63.9103,90.0550,0.3000
0.5000,0.0000,6.0000,0.1966,0.3406,11.7838,67.6581,92.7688,0.2500
0.5000,0.0000,5.0000,0.2004,0.3462,12.4167,71.4059,105.0376,0.3000
0.5000,0.0000,6.0000,0.2141,0.3638,13.1058,75.1537,92.1187,0.3500
0.5000,0.0000,7.0000,0.1891,0.3333,13.7041,78.9016,45.0620,0.4000
0.5000,0.0000,8.0000,0.1876,0.3321,14.3872,82.6494,34.9729,0.3500
0.5000,0.0000,7.0000,0.1923,0.3403,15.0349,86.3972,29.4779,0.3500
0.5000,0.0000,7.0000,0.1932,0.3430,15.7034,90.1450,35.3774,0.4000
0.5000,0.0000,8.0000,0.1806,0.3267,16.3736,93.8929,41.9398,0.3500
0.5000,0.0000,7.0000,0.1862,0.3360,17.0226,97.6407,141.8657,0.2000
0.5000,0.0000,4.0000,0.1800,0.3281,17.6907,101.3885,128.2314,0.2500
0.5000,0.0000,5.0000,0.1734,0.3211,18.3097,105.1363,186.5192,0.2500
0.5000,0.0000,5.0000,0.1899,0.3441,18.9553,108.8842,56.6410,0.3000
0.5000,0.0000,6.0000,0.1703,0.3193,19.5810,112.6320,0.0000,0.5000
0.5000,0.0000,10.0000,0.1805,0.3355,20.2821,116.3798,119.7777,0.2500
0.5000,0.0000,5.0000,0.1587,0.3063,20.9161,120.1276,104.1230,0.3500
0.5000,0.0000,7.0000,0.1682,0.3216,21.5647,123.8755,91.5318,0.3500
0.5000,0.0000,7.0000,0.2190,0.3797,22.2903,127.6233,46.7278,0.3000
0.5000,0.0000,6.0000,0.1571,0.3063,22.9346,131.3711,51.0001,0.3500
0.5000,0.0000,7.0000,0.1621,0.3152,23.5743,135.1189,30.0628,0.4500
0.5000,0.0000,9.0000,0.1548,0.3100,24.3055,138.8667,139.7297,0.2500
0.5000,0.0000,5.0000,0.1469,0.2975,24.9516,142.6146,0.0000,0.5000
0.5000,0.0000,10.0000,0.1634,0.3187,25.6161,146.3624,64.9600,0.4000
0.5000,0.0000,8.0000,0.1447,0.2917,26.2812,150.1102,51.8183,0.3500
0.5000,0.0000,7.0000,0.1895,0.3511,26.9380,153.8580,0.0041,0.5000
0.5000,0.0000,10.0000,0.1378,0.2866,27.5836,157.6059,0.0011,0.5000
0.5000,0.0000,10.0000,0.1794,0.3400,28.2678,161.3537,16.0417,0.4500
0.5000,0.0000,9.0000,0.1455,0.3016,28.9366,165.1015,105.1133,0.3500
0.5000,0.0000,7.0000,0.1370,0.2841,29.5286,168.8493,111.5871,0.3000
0.5000,0.0000,6.0000,0.1265,0.2755,30.1930,172.5972,42.0970,0.3500
0.5000,0.0000,7.0000,0.1368,0.2856,30.8542,176.3450,62.7443,0.3000
0.5000,0.0000,6.0000,0.1533,0.3022,31.4688,180.0928,35.0469,0.4000
0.5000,0.0000,8.0000,0.1219,0.2697,32.1529,183.8406,84.9181,0.4000
0.5000,0.0000,8.0000,0.1256,0.2726,32.8037,187.5885,37.0812,0.4000
