epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
0.1000,0.0000,6.0000,0.9626,0.8061,0.1228,1009940000.0000,133.4543,0.2500
0.1000,0.0000,5.0000,0.9223,0.7868,0.2387,1969383000.0000,55.3607,0.3000
0.1000,0.0000,6.0000,0.9109,0.7814,0.3602,2928826000.0000,115.6642,0.2000
0.1000,0.0000,4.0000,0.8896,0.7712,0.4929,3887638002.8291,82.7004,0.3000
0.1000,0.0000,6.0000,0.8760,0.7647,0.6182,4847078794.8549,113.1145,0.2500
0.1000,0.0000,5.0000,0.8700,0.7620,0.7359,5806521794.8549,128.6697,0.3000
0.1000,0.0000,6.0000,0.8568,0.7557,0.8571,6765964794.8549,144.7207,0.2000
0.1000,0.0000,4.0000,0.8587,0.7568,0.9747,7725407794.8549,134.5078,0.3000
0.1000,0.0000,6.0000,0.8503,0.7528,1.0917,8684849719.1510,113.7748,0.3500
0.1000,0.0000,7.0000,0.8462,0.7510,1.2176,9643552120.9344,62.3756,0.3500
0.1000,0.0000,7.0000,0.8495,0.7527,1.3382,10602995120.9344,65.1462,0.4000
0.1000,0.0000,8.0000,0.8305,0.7436,1.4586,11562438120.9344,113.4922,0.2500
0.1000,0.0000,5.0000,0.8321,0.7446,1.5773,12521881120.9344,41.1688,0.4500
0.1000,0.0000,9.0000,0.8356,0.7465,1.7088,13481324092.6258,85.9033,0.3500
0.1000,0.0000,7.0000,0.8253,0.7416,1.8340,14440767092.6258,98.6173,0.3000
0.1000,0.0000,6.0000,0.8168,0.7376,1.9498,15400210092.6258,10.1350,0.4000
0.1000,0.0000,8.0000,0.8179,0.7385,2.0602,16359653092.6258,84.8863,0.2500
0.1000,0.0000,5.0000,0.8089,0.7343,2.1817,17319096092.6258,155.7980,0.3000
0.1000,0.0000,6.0000,0.8000,0.7302,2.3024,18278539064.3172,12.6430,0.4000
0.1000,0.0000,8.0000,0.7748,0.7177,2.4208,19237982064.3172,103.5809,0.3500
0.1000,0.0000,7.0000,0.7727,0.7172,2.5422,20197425064.3172,197.1617,0.1500
0.1000,0.0000,3.0000,0.7545,0.7082,2.6619,21156868064.3172,73.0856,0.3000
0.1000,0.0000,6.0000,0.7423,0.7025,2.7923,22116311064.3172,188.8797,0.0500
0.1000,0.0000,1.0000,0.7348,0.6991,2.9103,23075754064.3172,12.5350,0.2500
0.1000,0.0000,5.0000,0.7094,0.6862,3.0355,24035197064.3172,177.8465,0.2000
0.1000,0.0000,4.0000,0.6969,0.6803,3.1464,24994640064.3172,89.6733,0.3000
0.1000,0.0000,6.0000,0.6757,0.6695,3.2620,25954083064.3172,55.6245,0.3500
0.1000,0.0000,7.0000,0.6589,0.6611,3.3898,26913526064.3172,122.1519,0.2500
0.1000,0.0000,5.0000,0.6326,0.6472,3.5143,27872969064.3172,76.8479,0.4000
0.1000,0.0000,8.0000,0.6012,0.6301,3.6408,28832412064.3172,68.3120,0.3500
0.1000,0.0000,7.0000,0.5846,0.6213,3.7629,29791855064.3172,90.7911,0.3000
0.1000,0.0000,6.0000,0.5580,0.6064,3.9006,30751298064.3172,86.0355,0.3500
0.1000,0.0000,7.0000,0.5246,0.5869,4.0198,31710741064.3172,89.4103,0.3500
0.1000,0.0000,7.0000,0.4929,0.5678,4.1365,32670184064.3172,55.7360,0.4000
0.1000,0.0000,8.0000,0.4688,0.5531,4.2476,33629627064.3172,86.7227,0.3000
0.1000,0.0000,6.0000,0.4386,0.5338,4.3688,34589070064.3172,23.4715,0.4000
0.1000,0.0000,8.0000,0.4161,0.5195,4.5024,35548513064.3172,122.9573,0.3000
0.1000,0.0000,6.0000,0.3886,0.5004,4.6265,36507956064.3172,147.1724,0.2500
0.1000,0.0000,5.0000,0.3655,0.4835,4.7416,37467399064.3172,124.6091,0.2000
0.1000,0.0000,4.0000,0.3429,0.4665,4.8691,38426842064.3172,75.1518,0.4000
0.1000,0.0000,8.0000,0.3268,0.4538,4.9873,39386195033.9185,66.7918,0.3500
0.1000,0.0000,7.0000,0.3131,0.4427,5.1107,40345638033.9185,35.8231,0.4000
0.1000,0.0000,8.0000,0.3006,0.4317,5.2293,41305081033.9185,77.1560,0.3500
0.1000,0.0000,7.0000,0.2983,0.4309,5.3501,42238070192.6233,63.7558,0.4000
0.1000,0.0000,8.0000,0.2869,0.4197,5.4620,43197513079.3891,134.9146,0.3000
0.1000,0.0000,6.0000,0.2840,0.4174,5.5827,44124627814.5253,82.9451,0.3500
0.1000,0.0000,7.0000,0.2763,0.4092,5.7045,45084070814.5253,32.7779,0.3000
0.1000,0.0000,6.0000,0.2681,0.3994,5.8297,46043513814.5253,95.0101,0.3000
0.1000,0.0000,6.0000,0.2667,0.3979,5.9530,47002956814.5253,45.3859,0.3500
0.1000,0.0000,7.0000,0.2636,0.3940,6.0788,47962399786.2167,161.9160,0.1000
0.1000,0.0000,2.0000,0.2628,0.3933,6.1971,48921842786.2167,171.1160,0.3000
0.1000,0.0000,6.0000,0.2636,0.3946,6.3185,49830789491.0803,196.8072,0.1000
0.1000,0.0000,2.0000,0.2622,0.3929,6.4315,50790232491.0803,42.4058,0.4000
0.1000,0.0000,8.0000,0.2581,0.3871,6.5636,51749675491.0803,139.7258,0.2000
0.1000,0.0000,4.0000,0.2594,0.3893,6.6865,52709068801.8128,52.0519,0.3000
0.1000,0.0000,6.0000,0.2587,0.3884,6.8107,53668511575.3450,28.6119,0.3000
0.1000,0.0000,6.0000,0.2588,0.3886,6.9287,54627954575.3450,56.1288,0.3000
0.1000,0.0000,6.0000,0.2588,0.3886,7.0378,55587397575.3450,28.7559,0.4500
0.1000,0.0000,9.0000,0.2564,0.3853,7.1664,56546840575.3450,1.0928,0.4500
0.1000,0.0000,9.0000,0.2551,0.3835,7.2879,57506283575.3450,77.0518,0.2500
0.1000,0.0000,5.0000,0.2555,0.3843,7.4056,58465726462.1109,76.0644,0.3000
0.1000,0.0000,6.0000,0.2531,0.3807,7.5297,59425169462.1109,103.4746,0.3500
0.1000,0.0000,7.0000,0.2548,0.3835,7.6632,60384612462.1109,96.7242,0.2500
0.1000,0.0000,5.0000,0.2528,0.3806,7.7895,61343804598.2082,61.0873,0.3500
0.1000,0.0000,7.0000,0.2526,0.3805,7.9049,62303247598.2082,113.8464,0.3500
0.1000,0.0000,7.0000,0.2538,0.3826,8.0233,63262690598.2082,88.6665,0.3500
0.1000,0.0000,7.0000,0.2530,0.3816,8.1523,64222133598.2082,92.0929,0.3000
0.1000,0.0000,6.0000,0.2521,0.3803,8.2676,65181576598.2082,19.2112,0.4000
0.1000,0.0000,8.0000,0.2518,0.3801,8.3838,66141019598.2082,59.2102,0.3500
0.1000,0.0000,7.0000,0.2542,0.3837,8.5050,67100462598.2082,35.6085,0.3000
0.1000,0.0000,6.0000,0.2509,0.3792,8.6208,68059905598.2082,76.7042,0.2500
0.1000,0.0000,5.0000,0.2528,0.3819,8.7405,69019347720.6569,46.6327,0.3000
0.1000,0.0000,6.0000,0.2509,0.3792,8.8669,69978790720.6569,95.0320,0.3000
0.1000,0.0000,6.0000,0.2534,0.3833,8.9906,70938233720.6569,114.9270,0.3000
0.1000,0.0000,6.0000,0.2534,0.3832,9.1104,71897676720.6569,147.6140,0.3000
0.1000,0.0000,6.0000,0.2497,0.3779,9.2332,72857119409.2642,38.3484,0.3000
0.1000,0.0000,6.0000,0.2500,0.3787,9.3562,73816562409.2642,144.4513,0.2500
0.1000,0.0000,5.0000,0.2496,0.3783,9.4832,74776005409.2642,119.0654,0.2000
0.1000,0.0000,4.0000,0.2486,0.3772,9.6065,75735448409.2642,87.7008,0.3500
0.1000,0.0000,7.0000,0.2510,0.3806,9.7377,76694891409.2642,181.1935,0.1500
0.1000,0.0000,3.0000,0.2503,0.3797,9.8513,77654334409.2642,42.7705,0.3500
0.1000,0.0000,7.0000,0.2529,0.3835,9.9687,78613777409.2642,121.2028,0.3000
0.1000,0.0000,6.0000,0.2503,0.3800,10.0817,79573220409.2642,104.2198,0.3000
0.1000,0.0000,6.0000,0.2504,0.3802,10.2016,80532663409.2642,82.8565,0.3500
0.1000,0.0000,7.0000,0.2490,0.3785,10.3332,81492106409.2642,84.6745,0.3000
0.1000,0.0000,6.0000,0.2497,0.3796,10.4565,82451549409.2642,181.0546,0.2000
0.1000,0.0000,4.0000,0.2468,0.3756,10.5716,83410992409.2642,83.0679,0.3000
0.1000,0.0000,6.0000,0.2468,0.3759,10.7060,84370435409.2642,69.0798,0.3000
0.1000,0.0000,6.0000,0.2469,0.3762,10.8260,85329878409.2642,86.6189,0.2500
0.1000,0.0000,5.0000,0.2505,0.3817,10.9428,86289321409.2642,77.6384,0.2500
0.1000,0.0000,5.0000,0.2477,0.3779,11.0640,87248764409.2642,133.8076,0.2500
0.1000,0.0000,5.0000,0.2500,0.3812,11.1784,88208206446.7901,108.8455,0.2500
0.1000,0.0000,5.0000,0.2487,0.3794,11.3001,89167649446.7901,82.9250,0.3000
0.1000,0.0000,6.0000,0.2480,0.3783,11.4122,90127092418.4815,122.7151,0.3500
0.1000,0.0000,7.0000,0.2463,0.3764,11.5357,91086535418.4815,117.5317,0.3000
0.1000,0.0000,6.0000,0.2467,0.3771,11.6492,92045978418.4815,109.7330,0.3000
0.1000,0.0000,6.0000,0.2459,0.3760,11.7696,92957344593.6635,34.5817,0.4500
0.1000,0.0000,9.0000,0.2464,0.3768,11.8907,93916787593.6635,153.0282,0.2500
0.1000,0.0000,5.0000,0.2456,0.3757,12.0068,94876230593.6635,70.0636,0.3500
0.1000,0.0000,7.0000,0.2451,0.3751,12.1193,95828173763.0732,60.5714,0.3000
