0,1,2,3,4,5,6,7,8,9
1.0293,1.0201,1.0791,1.0166,1.0528,1.0786,1.0216,1.0193,0.9729,1.0023
0.9879,1.0028,0.8922,1.0094,1.0044,0.9703,0.9877,0.9910,1.0155,1.0364
1.0232,0.9981,0.9595,0.9824,0.9597,1.0072,0.9802,1.0137,0.9251,0.9824
1.0611,1.0087,0.9729,1.0108,0.9972,1.0148,0.9842,1.0480,1.0017,0.9832
1.0001,1.0487,0.9254,1.0274,0.9947,0.9690,0.9832,0.9907,0.9894,0.9558
0.9349,1.0563,0.8975,1.0116,0.9211,0.9931,0.8915,0.9580,0.9782,0.9605
0.9652,0.9819,0.8779,1.0295,0.9924,0.9964,0.9680,0.9727,1.0883,0.9995
0.9602,0.9858,1.0202,1.0211,0.9449,0.9676,0.9840,0.9648,0.9714,0.9599
0.9596,0.9889,1.0767,0.9864,0.9666,0.9786,0.9925,0.9986,0.9693,0.9803
0.9746,0.9821,0.9852,0.9270,1.0067,0.9774,0.9226,1.0129,1.0205,0.9728
0.9009,0.9740,0.8843,0.9884,0.9535,0.9472,1.0299,1.0187,0.9633,0.9997
0.9676,0.9898,0.9123,0.9556,0.9546,0.9579,0.9787,0.9126,1.0006,0.9494
0.9938,0.9646,0.9017,0.9220,0.9908,0.9823,0.9478,1.0693,0.8967,0.9883
0.9398,0.8945,0.8295,0.9362,0.9477,0.9904,0.8726,0.9779,0.9381,0.9330
0.9389,0.9601,0.9332,0.9713,0.9197,1.0050,0.9241,0.9554,0.9780,0.9854
0.9344,0.9365,0.9804,0.9641,0.9428,0.9184,1.0452,0.8946,0.9575,0.9259
0.9899,0.9262,1.0609,0.9488,0.9275,0.9683,0.9374,0.9868,1.0078,0.9252
0.9462,0.9349,0.9641,0.8954,0.9129,0.8960,0.9541,0.9178,0.9478,0.9141
0.8887,0.9168,0.9561,0.9131,0.9496,0.9153,0.9170,0.9492,0.9646,0.9498
0.9205,0.9079,0.8680,0.9207,0.9541,0.9235,0.9019,0.9277,0.8939,0.9469
0.9007,0.9048,0.9859,0.8727,0.9067,0.9191,0.8686,0.8936,0.9425,0.8781
0.9117,0.8986,0.8816,0.8926,0.9118,0.8637,0.8276,0.8946,0.9491,0.8658
0.9053,0.8514,0.9634,0.8969,0.8854,0.8978,0.9262,0.8915,0.9005,0.8959
0.8838,0.8578,0.8211,0.8128,0.8923,0.8553,0.7871,0.7916,0.8515,0.8438
0.8333,0.8189,1.0116,0.8662,0.8783,0.8752,0.7138,0.8589,0.8740,0.8816
0.7665,0.7566,0.8441,0.9125,0.8051,0.8624,0.8113,0.7968,0.8685,0.8411
0.7873,0.7745,0.8839,0.8293,0.8414,0.8434,0.7783,0.8422,0.9527,0.8347
0.8030,0.8049,0.8599,0.8250,0.7783,0.7753,0.7754,0.7523,0.7442,0.8013
0.7900,0.7553,0.8792,0.7882,0.8134,0.8124,0.7274,0.7287,0.8372,0.7688
0.7061,0.7132,0.7903,0.7440,0.7670,0.7761,0.6504,0.6858,0.7869,0.7867
0.7152,0.7022,0.7700,0.7641,0.7507,0.7738,0.6281,0.6761,0.8430,0.7130
0.6916,0.6258,0.8003,0.7201,0.7101,0.7388,0.5838,0.6548,0.6963,0.6855
0.6585,0.6030,0.6464,0.7420,0.6819,0.6875,0.5622,0.5964,0.8327,0.6410
0.6438,0.6089,0.6368,0.6297,0.6603,0.6551,0.5161,0.6108,0.6922,0.6286
0.6073,0.5683,0.6554,0.6360,0.5766,0.6574,0.4836,0.5584,0.6987,0.5850
0.6097,0.5525,0.6322,0.6154,0.6318,0.6013,0.4055,0.5273,0.6247,0.5873
0.5709,0.4966,0.6973,0.6512,0.5592,0.5721,0.4355,0.5024,0.6429,0.5526
0.5221,0.4529,0.6233,0.5766,0.5504,0.5936,0.3527,0.4778,0.6561,0.5439
0.5174,0.4201,0.5203,0.5772,0.5245,0.5657,0.3253,0.4523,0.6146,0.5269
0.4936,0.4248,0.5468,0.5389,0.5188,0.5322,0.3281,0.4322,0.5996,0.4951
0.4384,0.3707,0.5770,0.5561,0.5055,0.5070,0.2865,0.4240,0.5803,0.4839
0.4506,0.3987,0.5940,0.4904,0.4689,0.5010,0.2620,0.4205,0.5589,0.4841
0.4473,0.3814,0.4883,0.5040,0.4725,0.4713,0.2495,0.3765,0.5980,0.4292
0.4466,0.3544,0.5548,0.4897,0.4869,0.4828,0.2304,0.3761,0.6280,0.4377
0.4517,0.3445,0.5351,0.4800,0.4528,0.4558,0.2401,0.3377,0.5200,0.4159
0.4458,0.3555,0.5672,0.5292,0.4682,0.4767,0.2202,0.3905,0.4860,0.4229
0.4365,0.3343,0.5550,0.5437,0.4691,0.4676,0.1964,0.3207,0.5433,0.3872
