,throughput,goodput,energy_cost,time_cost,pakcet_loss,loss_threshold
0,"[90.05562257216289, 67.63335769628469, 91.72726561335953, 100.36532875678623, 99.86023778972414]","[89.98574693284421, 67.49369315065024, 91.29795106420431, 99.37720385661352, 96.55301458747421]","[3.51758320894638, 7.825609756002059, 12.327876818154364, 31.815321738259286, 131.08945739148734]","[468.70390624999925, 506.2002187499992, 393.7112812499994, 487.4520624999992, 941.1574437499984]","[0.31666666666666665, 0.35862068965517246, 0.34293478260869564, 0.3441964285714286, 0.3595486111111111]",0.2
1,"[86.4293559989838, 75.52123356393288, 87.88369085263517, 95.66994526488898, 100.60586297129778]","[86.34669304935612, 75.38485928949962, 87.4139279201562, 94.63934906978014, 97.21074364534923]","[3.9507321893762035, 10.751719632764903, 20.150142629240552, 63.97639599834212, 220.61721021114033]","[524.9483749999991, 701.1810437499988, 644.9365749999989, 978.6537562499983, 1582.344387500031]","[0.3216666666666666, 0.35125000000000006, 0.34966216216216206, 0.34787946428571426, 0.3582291666666667]",0.15
2,"[87.36787195400126, 79.68460524369921, 91.05553257375057, 97.78990988080882, 100.40093171980027]","[87.27164806794067, 79.52729353491505, 90.6400358439412, 96.72771122435816, 97.08030277984001]","[9.881977633691145, 18.949015797126126, 46.55858907875532, 163.89470547703763, 653.867268962821]","[1312.370937500015, 1237.3783125000107, 1488.6036062500255, 2508.5033062500297, 4679.539800000036]","[0.32733333333333353, 0.3464788732394367, 0.34367647058823525, 0.34567307692307686, 0.35896381578947356]",0.1
