,throughput,goodput,energy_cost,time_cost,pakcet_loss,loss_threshold
0,"[85.3704823175746, 81.46462036441407, 84.71307957645128, 95.67110980452796, 102.71712125241511]","[85.23927414100378, 81.31727797779388, 84.02656566794063, 94.58708961185059, 99.52026823721987]","[2.7740915780262525, 4.594526144767974, 8.608813947032576, 13.382629000763545, 31.78594611896594]","[374.9631249999994, 305.59494687499955, 273.7230812499996, 206.2297187499997, 228.72750624999966]","[0.3406249999999999, 0.3467391304347826, 0.35227272727272724, 0.3485119047619048, 0.3558238636363637]",0.2
1,"[82.17604277648331, 76.03854399067902, 88.36761981775302, 96.20221655572045, 102.35085408728251]","[82.06379980488339, 75.91286702580211, 87.74619244985135, 95.20753928761208, 99.29819138382017]","[5.5889959201927955, 6.779968058935385, 10.592510212861118, 19.181840631715556, 44.42856205848288]","[746.1766187499987, 444.3313031249993, 337.4668124999995, 296.22086874999957, 318.7186562499995]","[0.3424528301886792, 0.3580645161290323, 0.3495192307692308, 0.3482758620689655, 0.3561458333333334]",0.15
2,"[81.20889096955486, 79.28308030358153, 89.76994411138743, 94.80298784432915, 101.9936136195973]","[81.09274225084145, 79.12372099033101, 89.21911149680491, 93.82721935175528, 98.93086339541277]","[9.748006974837569, 12.491818097634694, 16.820139596886577, 30.716713692050945, 52.24350648440571]","[1293.622781250014, 815.5447968749986, 536.1972687499991, 472.45353749999924, 374.9631249999994]","[0.3392857142857143, 0.3533653846153847, 0.34711538461538466, 0.34602272727272737, 0.3560714285714286]",0.1
