,throughput,goodput,energy_cost,time_cost,pakcet_loss,loss_threshold
0,"[89.18698744629107, 90.41506486701012, 91.05553257375057, 87.52836538368318, 87.11006600174133, 84.07159097714818, 91.1922310670181]","[85.99287099269998, 89.41014436071941, 90.6400358439412, 87.34061368560725, 87.01276291866307, 84.02183202544033, 91.17288554033006]","[14.81265765251407, 24.061005379408197, 46.55858907875532, 106.29076883737469, 175.20788508426682, 312.2116333195111, 686.122590529231]","[416.20906875000895, 725.5536468750116, 1488.6036062500255, 3517.1541125000826, 5954.414425000102, 10798.938000000138, 24417.598700000442]","[0.3677631578947368, 0.3496987951807227, 0.34367647058823525, 0.3427499999999998, 0.3336764705882354, 0.3366883116883116, 0.3168103448275862]",0.1
1,"[90.09527827091911, 90.14551460122908, 92.1967370203842, 90.26270328330195, 89.64688373868152, 89.318085556698, 90.74577095189167]","[86.8269475710057, 89.08867819286782, 91.79665465976981, 90.08215469150777, 89.56224201245573, 89.27595668213318, 90.72585899232409]","[61.929089972392646, 87.76232789037516, 78.45981416613208, 343.75065308161885, 683.7078860035696, 1459.4928545988214, 3415.8544799675255]","[1737.9540843751113, 2654.7389250000747, 2508.5033062500297, 11398.87900000044, 23247.71375000096, 50785.00565000269, 120888.11150000886]","[0.3671202531645564, 0.3507036423841058, 0.3417832167832167, 0.3398919753086421, 0.33397727272727246, 0.32936288088642635, 0.3201340326340327]",0.05
2,"[90.3771178742967, 90.14551460122908, 92.1967370203842, 90.14773928608064, 89.8120805341868, 89.9032558607141, 90.38637305997962]","[87.10242436380994, 89.08867819286782, 91.79665465976981, 89.97573197338833, 89.7309246678794, 89.8618607318479, 90.36704316686371]","[78.45855579623539, 87.76232789037516, 78.45981416613208, 530.9532773609402, 1034.3025367863838, 2024.2482397097428, 3979.4415260309165]","[2201.9709515626946, 2654.7389250000747, 2508.5033062500297, 17615.767612501557, 35231.535225003114, 70463.07045000623, 140926.14090001245]","[0.36647499999999944, 0.3507036423841058, 0.3417832167832167, 0.33970000000000006, 0.33284999999999965, 0.32768749999999996, 0.32017499999999993]",0.01
